ID,ANIO,MES,TIPO_INCIDENTE,TIPO_DETALLE,COD_LOCALIDAD,LOCALIDAD,COD_UPZ,UPZ,CANT_INCIDENTES
20150112UPZ21905,2015,1,905,ATRACO / HURTO EN PROCESO,12,BARRIOS UNIDOS,UPZ21,LOS ANDES,42
20150112UPZ22904,2015,1,904,HURTO EFECTUADO,12,BARRIOS UNIDOS,UPZ22,DOCE DE OCTUBRE,26
20150112UPZ22905,2015,1,905,ATRACO / HURTO EN PROCESO,12,BARRIOS UNIDOS,UPZ22,DOCE DE OCTUBRE,108
20150112UPZ98904,2015,1,904,HURTO EFECTUADO,12,BARRIOS UNIDOS,UPZ98,LOS ALCAZARES,37
20150112UPZ98905,2015,1,905,ATRACO / HURTO EN PROCESO,12,BARRIOS UNIDOS,UPZ98,LOS ALCAZARES,144
20150113UPZ100904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ100,GALERIAS,43
20150113UPZ100905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ100,GALERIAS,110
20150113UPZ101904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ101,TEUSAQUILLO,26
20150113UPZ101905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ101,TEUSAQUILLO,154
20150113UPZ104904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ104,PARQUE SIMON BOLIVAR - CAN,12
20150113UPZ104905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ104,PARQUE SIMON BOLIVAR - CAN,58
20150113UPZ106904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ106,LA ESMERALDA,8
20150113UPZ106905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ106,LA ESMERALDA,21
20150113UPZ107904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ107,QUINTA PAREDES,24
20150113UPZ107905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ107,QUINTA PAREDES,56
20150113UPZ109904,2015,1,904,HURTO EFECTUADO,13,TEUSAQUILLO,UPZ109,CIUDAD SALITRE ORIENTAL,13
20150113UPZ109905,2015,1,905,ATRACO / HURTO EN PROCESO,13,TEUSAQUILLO,UPZ109,CIUDAD SALITRE ORIENTAL,12
20150114UPZ102904,2015,1,904,HURTO EFECTUADO,14,LOS MÁRTIRES,UPZ102,LA SABANA,63
20150114UPZ102905,2015,1,905,ATRACO / HURTO EN PROCESO,14,LOS MÁRTIRES,UPZ102,LA SABANA,185
20150114UPZ37904,2015,1,904,HURTO EFECTUADO,14,LOS MÁRTIRES,UPZ37,SANTA ISABEL,35
20150114UPZ37905,2015,1,905,ATRACO / HURTO EN PROCESO,14,LOS MÁRTIRES,UPZ37,SANTA ISABEL,117
20150115UPZ35904,2015,1,904,HURTO EFECTUADO,15,ANTONIO NARIÑO,UPZ35,CIUDAD JARDIN,15
20150115UPZ35905,2015,1,905,ATRACO / HURTO EN PROCESO,15,ANTONIO NARIÑO,UPZ35,CIUDAD JARDIN,63
20150115UPZ38904,2015,1,904,HURTO EFECTUADO,15,ANTONIO NARIÑO,UPZ38,RESTREPO,49
20150115UPZ38905,2015,1,905,ATRACO / HURTO EN PROCESO,15,ANTONIO NARIÑO,UPZ38,RESTREPO,150
20150116UPZ108904,2015,1,904,HURTO EFECTUADO,16,PUENTE ARANDA,UPZ108,ZONA INDUSTRIAL,24
20150116UPZ108905,2015,1,905,ATRACO / HURTO EN PROCESO,16,PUENTE ARANDA,UPZ108,ZONA INDUSTRIAL,46
20150116UPZ111904,2015,1,904,HURTO EFECTUADO,16,PUENTE ARANDA,UPZ111,PUENTE ARANDA,14
20150116UPZ111905,2015,1,905,ATRACO / HURTO EN PROCESO,16,PUENTE ARANDA,UPZ111,PUENTE ARANDA,40
20150116UPZ40904,2015,1,904,HURTO EFECTUADO,16,PUENTE ARANDA,UPZ40,CIUDAD MONTES,44
